end_time_s,background_filtered_target_amp,without_filtered_target_amp,with_filtered_target_amp
6.5,0.0008792640761597841,0.33322274771573723,0.20890853331329953
6.6,2.1806949459888418e-05,0.3267383175141822,0.22213678242049226
6.7,2.2869505505956817e-05,0.3720834050398455,0.26545682877047816
6.8,1.057581938309893e-06,0.41942027057685954,0.2596925707987846
6.9,2.7460993434213228e-06,0.4206721706466633,0.23863004840896582
7.0,2.606872351340996e-07,0.4034463463645857,0.23608940054300473
7.1,7.256495855226613e-07,0.44598176764898484,0.22680255107801045
7.2,9.151882662923495e-08,0.423133757994525,0.23339577797090957
7.3,2.710145898287888e-07,0.3701378486687366,0.24973483698526933
7.4,3.9931342369163433e-08,0.35543080044528325,0.25860032636029107
7.5,1.2365379696268074e-07,0.3719244453134018,0.24977814551524083
7.6,2.0086961857470994e-08,0.3901119295552716,0.2501721373511969
7.7,6.438164987373224e-08,0.42899135584575704,0.2697631528920727
7.8,1.1159006654316054e-08,0.43310312829264574,0.2883133599928598
7.9,3.6840121345253475e-08,0.39141192261739327,0.29452683509061184
8.0,6.661549185736658e-09,0.4166402961140578,0.27416289540786104
8.1,2.264593805621542e-08,0.43809443309180196,0.24896003155032528
8.2,4.191468190866964e-09,0.45060266371807506,0.23615088446637172
8.3,1.4739568682026086e-08,0.4171225384622681,0.272861009291856
8.4,2.7368613259177337e-09,0.37497222986985645,0.2861935212704769
8.5,1.006502428213e-08,0.38616653667856704,0.22584571753210392
8.6,1.8274843412236833e-09,0.41183143339355865,0.22775166603845776
8.7,7.172410447982109e-09,0.48208448580660596,0.2606251294112838
8.8,1.2269981963258077e-09,0.47511182073282326,0.25947659628928105
8.9,5.322791970173361e-09,0.37710279982786843,0.25936677881101966
9.0,8.094174798123e-10,0.33862732248828203,0.25171482118989014
9.1,4.118258554807471e-09,0.3427364674789745,0.29099247579103954
9.2,5.076899522003976e-10,0.374220344687499,0.3424644781211097
9.3,3.336346670920143e-09,0.3926539492785551,0.3117926425492035
9.4,3.0498179998569626e-10,0.3927855602234816,0.28433558646760665
9.5,2.8513758405345653e-09,0.4340120190507824,0.30453768624576505
9.6,2.752935485742616e-10,0.42217905602875433,0.28585848699224603
9.7,2.5959341720995514e-09,0.3546434155842414,0.27334373554244557
9.8,4.4164836551100807e-10,0.34160543846813485,0.24577598058847186
9.9,2.542869800931708e-09,0.3127610374739928,0.20235707162189873
10.0,7.112422349220955e-10,0.3245196278544007,0.22170243276523405
10.1,2.699789294609733e-09,0.3564480936302488,0.24193589092625742
10.2,1.0798771613315023e-09,0.3523519653905215,0.24844279670318556
10.3,3.1142588888355466e-09,0.36068775768144384,0.24253900254749666
10.4,1.597859008151218e-09,0.37086942703078735,0.23486803946648702
10.5,3.893234672661243e-09,0.3398063025758309,0.24829587939415176
10.6,2.3628716532881793e-09,0.29336690736983767,0.24749763165015906
10.7,5.2487314903252716e-09,0.2850255327614819,0.22264780739879575
10.8,3.553730697096928e-09,0.29575450955570387,0.23966972853564525
10.9,7.601286502085301e-09,0.3742946982604922,0.24948628309532453
11.0,5.513704359239725e-09,0.3711426671921651,0.22094258323594715
11.1,1.1826245495525919e-08,0.3389007577780124,0.2434546395621892
11.2,8.949155319070215e-09,0.3254883192937302,0.2766301482425564
