time_s,raw_adc,centered_adc,filtered_100hz_adc
7.092,15.0,-0.11390256323204895,-0.2132938488858681
7.093,15.0,-0.11390256323204895,-0.246859835861807
7.094,15.0,-0.11390256323204895,-0.18679970290781497
7.095,15.0,-0.11390256323204895,-0.055161070842892145
7.096,15.0,-0.11390256323204895,0.09853065295845337
7.097,15.0,-0.11390256323204895,0.2159572853840928
7.098,16.0,0.886097436767951,0.2521942386719624
7.099,15.0,-0.11390256323204895,0.1929371679492831
7.1,15.0,-0.11390256323204895,0.06014786795253089
7.101,15.0,-0.11390256323204895,-0.09611057997377562
7.102,15.0,-0.11390256323204895,-0.21660624204484236
7.103,15.0,-0.11390256323204895,-0.25545847169283403
7.104,15.0,-0.11390256323204895,-0.19765922428815424
7.105,15.0,-0.11390256323204895,-0.06488530841143471
7.106,15.0,-0.11390256323204895,0.09265520930159234
7.107,15.0,-0.11390256323204895,0.2152670896292827
7.108,16.0,0.886097436767951,0.2564579528832515
7.109,15.0,-0.11390256323204895,0.20062425938374917
7.11,15.0,-0.11390256323204895,0.06898495612832234
7.111,15.0,-0.11390256323204895,-0.0885013033563261
7.112,15.0,-0.11390256323204895,-0.21214868658232486
7.113,15.0,-0.11390256323204895,-0.2552309715525069
7.114,15.0,-0.11390256323204895,-0.20169488031778235
7.115,15.0,-0.11390256323204895,-0.07216554461397057
7.116,15.0,-0.11390256323204895,0.08400960081644875
7.117,15.0,-0.11390256323204895,0.20760364644053983
7.118,16.0,0.886097436767951,0.2520276240678011
7.119,15.0,-0.11390256323204895,0.20094058090827738
7.12,15.0,-0.11390256323204895,0.07427941487686202
7.121,15.0,-0.11390256323204895,-0.07952109347261985
7.122,15.0,-0.11390256323204895,-0.20207909476885738
7.123,15.0,-0.11390256323204895,-0.2472691523584055
7.124,15.0,-0.11390256323204895,-0.1986180943028143
7.125,15.0,-0.11390256323204895,-0.07532071428407508
7.126,15.0,-0.11390256323204895,0.07532230124291994
7.127,15.0,-0.11390256323204895,0.1960650494024066
7.128,17.0,1.886097436767951,0.24149483731904978
7.129,15.0,-0.11390256323204895,0.19513336855637153
7.13,15.0,-0.11390256323204895,0.07541488646772111
7.131,15.0,-0.11390256323204895,-0.07162420396111062
7.132,15.0,-0.11390256323204895,-0.19004774369936847
7.133,15.0,-0.11390256323204895,-0.23530411784687763
7.134,15.0,-0.11390256323204895,-0.19099085002594687
7.135,15.0,-0.11390256323204895,-0.07479151204129277
7.136,15.0,-0.11390256323204895,0.06855687334721522
7.137,15.0,-0.11390256323204895,0.1844732791815826
7.138,16.0,0.886097436767951,0.22930096461344757
7.139,15.0,-0.11390256323204895,0.18673665513172438
7.14,15.0,-0.11390256323204895,0.07374476615958829
7.141,15.0,-0.11390256323204895,-0.06617898837214851
7.142,15.0,-0.11390256323204895,-0.1797243712993143
7.143,15.0,-0.11390256323204895,-0.22404598940880743
7.144,15.0,-0.11390256323204895,-0.18290223505626954
7.145,15.0,-0.11390256323204895,-0.0725873400571244
7.146,15.0,-0.11390256323204895,0.06449880411688859
